researcher_id,first_name,last_name,field,institution,joined_year,h_index,publications_count,is_active,country,email,pub_id,title,year,citations,journal,open_access,grant_id,funding_body,year_awarded,amount_cad,project_title,status
R008,Younes,Nasser,Computer Vision,McGill University,2015,16,112,True,Lebanon,younes.nasser@pssar.ca,P009,Deep Learning for Medical Imaging,2017.0,122.0,ICLR,False,,,,,,
R033,Marco,Bianchi,Data Engineering,Oxford,2016,7,42,True,Germany,marco.bianchi@university.edu,P005,Transformer Models in Low-Resource Settings,2023.0,38.0,CVPR,True,,,,,,
R033,Marco,Bianchi,Data Engineering,Oxford,2016,7,42,True,Germany,marco.bianchi@university.edu,P050,Self-Supervised Learning in Vision,2014.0,128.0,ICML,True,,,,,,
R033,Marco,Bianchi,Data Engineering,Oxford,2016,7,42,True,Germany,marco.bianchi@university.edu,P027,Graph Neural Networks for Molecule Prediction,2020.0,114.0,ICLR,False,,,,,,
R030,Erik,Johansson,Computer Vision,University of Toronto,2008,15,60,False,France,erik.johansson@university.edu,,,,,,,G025,SSHRC,2021.0,70000.0,AI for Climate,active
R015,James,Martínez,Data Engineering,University of Toronto,2007,14,42,True,UK,james.martínez@university.edu,,,,,,,G014,CFI,2023.0,65000.0,Data for Good,active
R015,James,Martínez,Data Engineering,University of Toronto,2007,14,42,True,UK,james.martínez@university.edu,,,,,,,G023,SSHRC,2015.0,55000.0,Data for Good,completed
R032,Pierre,Moreau,Data Engineering,McGill University,2014,8,24,True,Australia,pierre.moreau@university.edu,,,,,,,,,,,,
R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,P047,Self-Supervised Learning in Vision,2022.0,113.0,Nature Machine Intelligence,True,,,,,,
R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,P060,Deep Learning for Medical Imaging,2016.0,1.0,ACL,False,,,,,,
R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,P017,Causal Inference with Observational Data,2019.0,111.0,ACL,False,,,,,,
R013,Tariq,Rashid,Machine Learning,UBC,2020,24,168,True,Germany,tariq.rashid@pssar.ca,P024,Bias in NLP Benchmarks: A Critical Review,2022.0,168.0,NeurIPS,False,,,,,,
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P006,Transformer Models in Low-Resource Settings,2020.0,112.0,ICML,False,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P006,Transformer Models in Low-Resource Settings,2020.0,112.0,ICML,False,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P048,Efficient Data Pipelines at Scale,2017.0,62.0,ACL,False,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P048,Efficient Data Pipelines at Scale,2017.0,62.0,ACL,False,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P_HIDDEN,Data Opens Doors: A Manifesto for Open Research,2024.0,9999.0,Nature Machine Intelligence,True,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P_HIDDEN,Data Opens Doors: A Manifesto for Open Research,2024.0,9999.0,Nature Machine Intelligence,True,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P031,Federated Learning for Privacy Preservation,2021.0,157.0,Nature Machine Intelligence,True,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P031,Federated Learning for Privacy Preservation,2021.0,157.0,Nature Machine Intelligence,True,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017.0,128.0,NeurIPS,False,G008,CFI,2023.0,45000.0,Ethical AI,completed
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017.0,128.0,NeurIPS,False,G013,CIHR,2016.0,95000.0,Healthcare NLP,completed
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017.0,128.0,NeurIPS,False,G015,Mitacs,2022.0,120000.0,Healthcare NLP,active
R012,Sara,Omar,Bioinformatics,University of Waterloo,2019,17,102,True,Palestine,sara.omar@pssar.ca,P013,Efficient Data Pipelines at Scale,2019.0,194.0,ACL,False,G002,SSHRC,2022.0,50000.0,Data for Good,pending
R007,Lena,Elkhoury,NLP,UBC,2014,25,125,True,Germany,lena.elkhoury@pssar.ca,P022,Causal Inference with Observational Data,2023.0,111.0,CVPR,True,,,,,,
R007,Lena,Elkhoury,NLP,UBC,2014,25,125,True,Germany,lena.elkhoury@pssar.ca,P041,Efficient Data Pipelines at Scale,2010.0,7.0,ICLR,True,,,,,,
R017,Emily,Williams,NLP,University of Toronto,2006,20,120,False,Germany,emily.williams@university.edu,P056,Deep Learning for Medical Imaging,2016.0,99.0,Nature Machine Intelligence,False,,,,,,
R027,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu,P044,Self-Supervised Learning in Vision,2010.0,179.0,Nature Machine Intelligence,True,G003,Mitacs,2016.0,100000.0,Ethical AI,completed
R027,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu,P044,Self-Supervised Learning in Vision,2010.0,179.0,Nature Machine Intelligence,True,G028,CFI,2016.0,80000.0,Healthcare NLP,active
R018,Stefan,Hoffman,Data Engineering,ETH Zurich,2012,14,70,True,UK,stefan.hoffman@university.edu,P016,Efficient Data Pipelines at Scale,2024.0,41.0,ICLR,False,,,,,,
R018,Stefan,Hoffman,Data Engineering,ETH Zurich,2012,14,70,True,UK,stefan.hoffman@university.edu,P007,Efficient Data Pipelines at Scale,2014.0,128.0,Nature Machine Intelligence,False,,,,,,
R018,Stefan,Hoffman,Data Engineering,ETH Zurich,2012,14,70,True,UK,stefan.hoffman@university.edu,P057,Graph Neural Networks for Molecule Prediction,2019.0,9.0,EMNLP,False,,,,,,
R026,Amr,Hassan,Machine Learning,Oxford,2006,14,42,True,Australia,amr.hassan@university.edu,P036,Graph Neural Networks for Molecule Prediction,2011.0,31.0,ICLR,False,,,,,,
R026,Amr,Hassan,Machine Learning,Oxford,2006,14,42,True,Australia,amr.hassan@university.edu,P021,Deep Learning for Medical Imaging,2013.0,74.0,JMLR,False,,,,,,
R026,Amr,Hassan,Machine Learning,Oxford,2006,14,42,True,Australia,amr.hassan@university.edu,P010,Transformer Models in Low-Resource Settings,2014.0,115.0,Nature Machine Intelligence,False,,,,,,
R026,Amr,Hassan,Machine Learning,Oxford,2006,14,42,True,Australia,amr.hassan@university.edu,P040,Self-Supervised Learning in Vision,2022.0,59.0,ICLR,True,,,,,,
R026,Amr,Hassan,Machine Learning,Oxford,2006,14,42,True,Australia,amr.hassan@university.edu,P032,Federated Learning for Privacy Preservation,2022.0,45.0,ICLR,True,,,,,,
R004,Hana,Abou-Saleh,Data Engineering,University of Waterloo,2011,17,119,True,UK,hana.abousaleh@pssar.ca,P043,Graph Neural Networks for Molecule Prediction,2019.0,62.0,ICML,False,,,,,,
R024,Anna,Kowalski,Computer Vision,MIT,2021,10,60,False,UK,anna.kowalski@university.edu,P008,Uncertainty Quantification in Neural Networks,2015.0,159.0,ACL,True,,,,,,
R024,Anna,Kowalski,Computer Vision,MIT,2021,10,60,False,UK,anna.kowalski@university.edu,P049,Uncertainty Quantification in Neural Networks,2014.0,116.0,ICLR,True,,,,,,
R034,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu,P029,Deep Learning for Medical Imaging,2020.0,20.0,ACL,True,G022,SSHRC,2015.0,45000.0,Multilingual Models,active
R034,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu,P037,Self-Supervised Learning in Vision,2019.0,129.0,NeurIPS,False,G022,SSHRC,2015.0,45000.0,Multilingual Models,active
R021,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu,P042,Uncertainty Quantification in Neural Networks,2011.0,65.0,ICLR,False,G006,CFI,2017.0,60000.0,Ethical AI,pending
R021,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu,P042,Uncertainty Quantification in Neural Networks,2011.0,65.0,ICLR,False,G020,NSERC,2022.0,80000.0,Ethical AI,completed
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019.0,25.0,ICML,True,G001,SSHRC,2022.0,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019.0,25.0,ICML,True,G016,Mitacs,2015.0,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019.0,25.0,ICML,True,G027,CFI,2021.0,95000.0,Multilingual Models,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011.0,127.0,ICML,False,G001,SSHRC,2022.0,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011.0,127.0,ICML,False,G016,Mitacs,2015.0,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011.0,127.0,ICML,False,G027,CFI,2021.0,95000.0,Multilingual Models,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023.0,68.0,Nature Machine Intelligence,False,G001,SSHRC,2022.0,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023.0,68.0,Nature Machine Intelligence,False,G016,Mitacs,2015.0,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023.0,68.0,Nature Machine Intelligence,False,G027,CFI,2021.0,95000.0,Multilingual Models,pending
R005,Chidi,Okonkwo,Bioinformatics,UBC,2012,22,154,True,Jordan,chidi.okonkwo@pssar.ca,P028,Efficient Data Pipelines at Scale,2015.0,108.0,Nature Machine Intelligence,False,,,,,,
R019,Priya,Kaur,Data Engineering,McGill University,2012,19,114,False,USA,priya.kaur@university.edu,P035,Efficient Data Pipelines at Scale,2015.0,57.0,JMLR,False,,,,,,
R009,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca,P059,Bias in NLP Benchmarks: A Critical Review,2010.0,68.0,JMLR,False,G026,CFI,2019.0,85000.0,Data for Good,pending
R009,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca,P004,Deep Learning for Medical Imaging,2017.0,179.0,Nature Machine Intelligence,True,G026,CFI,2019.0,85000.0,Data for Good,pending
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P025,Bias in NLP Benchmarks: A Critical Review,2023.0,20.0,JMLR,False,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P045,Federated Learning for Privacy Preservation,2017.0,52.0,ICLR,False,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P030,Efficient Data Pipelines at Scale,2014.0,60.0,ACL,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P038,Graph Neural Networks for Molecule Prediction,2018.0,42.0,JMLR,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P034,Transformer Models in Low-Resource Settings,2012.0,127.0,NeurIPS,False,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P003,Multi-lingual BERT Fine-Tuning,2012.0,171.0,ICLR,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P033,Federated Learning for Privacy Preservation,2013.0,190.0,JMLR,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R002,Layla,Ahmad,NLP,York University,2009,18,72,True,Palestine,layla.ahmad@pssar.ca,P058,Self-Supervised Learning in Vision,2013.0,137.0,CVPR,False,,,,,,
R002,Layla,Ahmad,NLP,York University,2009,18,72,True,Palestine,layla.ahmad@pssar.ca,P051,Causal Inference with Observational Data,2023.0,117.0,JMLR,True,,,,,,
